"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
2,"row1col21",0.95,0.878387748918,-1.0,-1,"West",0.0,0.0
3,"row1col20",0.9025,0.540488669967,-1.0,-1,"West",0.0,0.0
4,"row1col19",0.857375,0.528743094473,-1.0,-1,"West",0.0,0.0
5,"row1col18",0.81450625,0.88950483111,0.495603242731,0.142625,"East",0.0,0.0
6,"row1col19",0.7737809375,0.756354586716,0.495603242731,0.142625,"West",0.0,0.0
7,"row1col18",0.735091890625,0.577222742592,0.495603242731,0.142625,"South",0.0,0.0
8,"row2col18",0.698337296094,0.90411184222,0.620697496358,0.264908109375,"East",0.0,0.0
9,"row2col19",0.663420431289,0.632443067983,0.620697496358,0.264908109375,"West",0.0,0.0
10,"row2col18",0.630249409725,0.0932184552557,0.620697496358,0.264908109375,"West",0.0,0.0
11,"row2col17",0.598736939238,0.44848806969,0.620697496358,0.264908109375,"West",0.0,0.0
12,"row2col16",0.568800092276,0.711304730713,0.753786566799,0.401263060762,"South",0.0,0.0
13,"row3col16",0.540360087663,0.752266184602,0.522666400866,0.431199907724,"West",0.0,0.0
14,"row3col15",0.51334208328,0.511179361913,0.522666400866,0.431199907724,"North",1.0,0.51334208328
15,"row19col14",0.95,0.873597584584,-1.0,-1,"East",0.0,0.0
16,"row19col15",0.9025,0.981893449597,0.991007025719,0.05,"North",0.0,0.0
17,"row18col15",0.857375,0.505233476261,0.991007025719,0.05,"North",0.0,0.0
18,"row17col15",0.81450625,0.908627996393,0.704082992841,0.142625,"North",0.0,0.0
19,"row16col15",0.7737809375,0.427596146495,0.704082992841,0.142625,"North",0.0,0.0
20,"row15col15",0.735091890625,0.478793720061,0.704082992841,0.142625,"East",0.0,0.0
21,"row15col16",0.698337296094,0.048094042948,0.704082992841,0.142625,"East",0.0,0.0
22,"row15col17",0.663420431289,0.922053408929,0.408627675024,0.301662703906,"West",0.0,0.0
23,"row15col16",0.630249409725,0.53181365248,0.408627675024,0.301662703906,"East",0.0,0.0
24,"row15col17",0.598736939238,0.491819158381,0.408627675024,0.301662703906,"North",0.0,0.0
25,"row14col17",0.568800092276,0.920336641918,0.912867332974,0.401263060762,"South",0.0,0.0
26,"row15col17",0.540360087663,0.629372458168,0.874692982223,0.431199907724,"South",0.0,0.0
27,"row15col17",0.51334208328,0.172548617634,0.874692982223,0.431199907724,"North",0.0,0.0
28,"row14col17",0.487674979116,0.873577990176,0.301920973205,0.48665791672,"West",0.0,0.0
29,"row14col16",0.46329123016,0.94229788082,0.982873093337,0.512325020884,"South",0.0,0.0
30,"row15col16",0.440126668652,0.970653008929,0.457686182466,0.53670876984,"West",0.0,0.0
31,"row15col15",0.418120335219,0.655766079554,0.00358829159577,0.559873331348,"West",0.0,0.0
32,"row15col14",0.397214318458,0.112183186291,0.00358829159577,0.559873331348,"East",0.0,0.0
33,"row15col15",0.377353602535,0.524402763696,0.426078861595,0.602785681542,"North",0.0,0.0
34,"row14col15",0.358485922409,0.778500146901,0.192871535106,0.622646397465,"East",0.0,0.0
35,"row14col16",0.340561626288,0.780672778597,0.657755695077,0.641514077591,"East",0.0,0.0
36,"row14col17",0.323533544974,0.108662341876,0.657755695077,0.641514077591,"North",0.0,0.0
37,"row13col17",0.307356867725,0.620527466283,0.527813987111,0.676466455026,"East",0.0,0.0
38,"row13col18",0.291989024339,0.90522262319,0.239651558368,0.692643132275,"North",0.0,0.0
39,"row12col18",0.277389573122,0.588503474192,0.279743864307,0.708010975661,"North",0.0,0.0
40,"row11col18",0.263520094466,0.0910512945967,0.279743864307,0.708010975661,"West",0.0,0.0
41,"row11col17",0.250344089742,0.606116068204,0.482066847947,0.736479905534,"South",0.0,0.0
42,"row12col17",0.237826885255,0.716346088684,0.578990067823,0.749655910258,"North",0.0,0.0
43,"row11col17",0.225935540993,0.64148413899,0.887793016396,0.762173114745,"North",0.0,0.0
44,"row10col17",0.214638763943,0.00351189306375,0.887793016396,0.762173114745,"North",0.0,0.0
45,"row9col17",0.203906825746,0.544822427029,0.0616903489887,0.785361236057,"North",0.0,0.0
46,"row8col17",0.193711484459,0.521423992708,0.107580308049,0.796093174254,"North",0.0,0.0
47,"row7col17",0.184025910236,0.433832705042,0.948668340642,0.806288515541,"East",0.0,0.0
48,"row7col18",0.174824614724,0.827118615269,0.508466899166,0.815974089764,"West",0.0,0.0
49,"row7col17",0.166083383988,0.745799778313,0.642149211084,0.825175385276,"West",0.0,0.0
50,"row7col17",0.157779214788,0.7649158346,0.541866714158,0.833916616012,"North",0.0,0.0
51,"row6col17",0.149890254049,0.792129457056,0.0687240236454,0.842220785212,"West",0.0,0.0
52,"row6col16",0.142395741346,0.577936469574,0.927181706732,0.850109745951,"East",0.0,0.0
53,"row6col17",0.135275954279,0.338982515559,0.0622924598546,0.857604258654,"South",0.0,0.0
54,"row7col17",0.128512156565,0.530742475177,0.682884014467,0.864724045721,"East",0.0,0.0
55,"row7col18",0.122086548737,0.998142881903,0.77879179321,0.871487843435,"South",0.0,0.0
56,"row8col18",0.1159822213,0.137741452142,0.0971152773092,0.877913451263,"South",0.0,0.0
57,"row9col18",0.110183110235,0.947554657007,0.586534218002,0.8840177787,"South",0.0,0.0
58,"row10col18",0.104673954723,0.917912916772,0.709235674411,0.889816889765,"North",0.0,0.0
59,"row9col18",0.0994402569871,0.177157282826,0.554903464123,0.895326045277,"West",0.0,0.0
60,"row9col17",0.0944682441377,0.686391523483,0.326757992557,0.900559743013,"South",0.0,0.0
61,"row10col17",0.0897448319309,0.265164180566,0.144532815173,0.905531755862,"North",0.0,0.0
62,"row9col17",0.0852575903343,0.460123738482,0.543907042147,0.910255168069,"North",0.0,0.0
63,"row8col17",0.0809947108176,0.972841694781,0.602958422869,0.914742409666,"East",0.0,0.0
64,"row8col18",0.0769449752767,0.245883816946,0.981359764984,0.919005289182,"West",0.0,0.0
65,"row8col17",0.0730977265129,0.84328444841,0.255534934725,0.923055024723,"South",0.0,0.0
66,"row9col17",0.0694428401872,0.789909834954,0.0710681702983,0.926902273487,"South",0.0,0.0
67,"row10col17",0.0659706981779,0.431166974966,0.666550851424,0.930557159813,"North",0.0,0.0
68,"row9col17",0.062672163269,0.797532826409,0.896249509924,0.934029301822,"West",0.0,0.0
69,"row9col17",0.0595385551055,0.0970980155837,0.487692762651,0.937327836731,"West",0.0,0.0
70,"row9col17",0.0565616273503,0.0962480244147,0.404241859224,0.940461444894,"East",0.0,0.0
71,"row9col18",0.0537335459827,0.591838062442,0.0468140078675,0.94343837265,"West",0.0,0.0
72,"row9col17",0.0510468686836,0.648956745095,0.128626562103,0.946266454017,"West",0.0,0.0
73,"row9col17",0.0484945252494,0.0179428454619,0.128626562103,0.946266454017,"North",0.0,0.0
74,"row8col17",0.046069798987,0.932752310668,0.223829719007,0.951505474751,"West",0.0,0.0
75,"row8col17",0.0437663090376,0.613365315229,0.669015524148,0.953930201013,"South",0.0,0.0
76,"row9col17",0.0415779935857,0.247476417176,0.153087479263,0.956233690962,"East",0.0,0.0
77,"row9col18",0.0394990939064,0.130120699436,0.647303158179,0.958422006414,"West",0.0,0.0
78,"row9col17",0.0375241392111,0.332632383767,0.328420719369,0.960500906094,"North",0.0,0.0
79,"row8col17",0.0356479322506,0.987146239491,0.462545395056,0.962475860789,"East",0.0,0.0
80,"row8col18",0.033865535638,0.273028622574,0.0892599793958,0.964352067749,"North",0.0,0.0
81,"row7col18",0.0321722588561,0.0617561241815,0.512112156266,0.966134464362,"West",0.0,0.0
82,"row7col17",0.0305636459133,0.69816363284,0.0894100928862,0.967827741144,"East",0.0,0.0
83,"row7col18",0.0290354636177,0.791431695274,0.996720032958,0.969436354087,"East",0.0,0.0
84,"row7col18",0.0275836904368,0.300581149813,0.652822639136,0.970964536382,"East",0.0,0.0
85,"row7col18",0.0262045059149,0.644163114542,0.55199062114,0.972416309563,"North",0.0,0.0
86,"row6col18",0.0248942806192,0.244382725865,0.975251721195,0.973795494085,"West",0.0,0.0
87,"row6col17",0.0236495665882,0.178833508672,0.194182376263,0.975105719381,"North",0.0,0.0
88,"row5col17",0.0224670882588,0.173627273863,0.612328410882,0.976350433412,"West",0.0,0.0
89,"row5col16",0.0213437338459,0.219731768452,0.937011948244,0.977532911741,"North",0.0,0.0
90,"row5col16",0.0202765471536,0.959682507891,0.916161448896,0.978656266154,"West",0.0,0.0
91,"row5col15",0.0192627197959,0.680791429795,0.829284250757,0.979723452846,"East",0.0,0.0
92,"row5col16",0.0182995838061,0.0883554931566,0.933759391757,0.980737280204,"East",0.0,0.0
93,"row5col17",0.0173846046158,0.441431134634,0.0427550616223,0.981700416194,"East",0.0,0.0
94,"row5col18",0.016515374385,0.795728917992,0.764671515473,0.982615395384,"West",0.0,0.0
95,"row5col17",0.0156896056658,0.799036405358,0.942047642163,0.983484625615,"West",0.0,0.0
96,"row5col16",0.0149051253825,0.0266072979643,0.426375527278,0.984310394334,"West",0.0,0.0
97,"row5col15",0.0141598691134,0.876335750034,0.630446536146,0.985094874618,"North",0.0,0.0
98,"row5col15",0.0134518756577,0.359049915192,0.57478030875,0.985840130887,"South",0.0,0.0
99,"row6col15",0.0127792818748,0.937435297539,0.868694172139,0.986548124342,"West",0.0,0.0
100,"row6col14",0.0121403177811,0.107194614599,0.278124576522,0.987220718125,"West",0.0,0.0
101,"row6col13",0.011533301892,0.308242425747,0.478224758493,0.987859682219,"East",0.0,0.0
102,"row6col14",0.0109566367974,0.9303478679,0.461954275932,0.988466698108,"North",0.0,0.0
103,"row5col14",0.0104088049575,0.879930867842,0.865611996599,0.989043363203,"South",0.0,0.0
104,"row6col14",0.00988836470966,0.0663024369626,0.143568323913,0.989591195042,"West",0.0,0.0
105,"row6col13",0.00939394647418,0.129487446542,0.244490453872,0.99011163529,"North",0.0,0.0
106,"row5col13",0.00892424915047,0.415526599332,0.547779740982,0.990606053526,"North",0.0,0.0
107,"row4col13",0.00847803669294,0.802924934386,0.460775922901,0.99107575085,"South",0.0,0.0
108,"row5col13",0.0080541348583,0.316804702963,0.48291233876,0.991521963307,"North",0.0,0.0
109,"row4col13",0.00765142811538,0.756244895897,0.227805327464,0.991945865142,"North",0.0,0.0
110,"row3col13",0.00726885670961,0.773562460677,0.0671030570279,0.992348571885,"North",0.0,0.0
111,"row2col13",0.00690541387413,0.221948046557,0.116690573908,0.99273114329,"West",0.0,0.0
112,"row2col13",0.00656014318043,0.0963198097744,0.556582373695,0.993094586126,"South",0.0,0.0
113,"row3col13",0.0062321360214,0.24752646885,0.381627256689,0.99343985682,"East",0.0,0.0
114,"row3col14",0.00592052922033,0.108419851888,0.296677856944,0.993767863979,"East",0.0,0.0
115,"row1col15",0.95,0.729500532059,-1.0,-1,"South",1.0,0.95
116,"row18col7",0.95,0.714795630017,-1.0,-1,"North",0.0,0.0
117,"row17col7",0.9025,0.69215360912,-1.0,-1,"North",0.0,0.0
118,"row16col7",0.857375,0.357106425069,-1.0,-1,"North",0.0,0.0
119,"row15col7",0.81450625,0.578889919995,-1.0,-1,"West",0.0,0.0
120,"row15col6",0.7737809375,0.784381783902,-1.0,-1,"North",0.0,0.0
121,"row14col6",0.735091890625,0.574167631627,-1.0,-1,"North",0.0,0.0
122,"row13col6",0.698337296094,0.139939013852,-1.0,-1,"North",0.0,0.0
123,"row12col6",0.663420431289,0.413274704878,-1.0,-1,"North",0.0,0.0
124,"row11col6",0.630249409725,0.292280052446,-1.0,-1,"North",0.0,0.0
125,"row10col6",0.598736939238,0.386253652011,-1.0,-1,"North",0.0,0.0
126,"row9col6",0.568800092276,0.275892784809,-1.0,-1,"North",0.0,0.0
127,"row8col6",0.540360087663,0.229630610808,-1.0,-1,"North",0.0,0.0
128,"row7col6",0.51334208328,0.436138244966,-1.0,-1,"North",0.0,0.0
129,"row6col6",0.487674979116,0.758605951035,0.912911768566,0.48665791672,"West",0.0,0.0
130,"row6col5",0.46329123016,0.42859233349,0.912911768566,0.48665791672,"East",0.0,0.0
131,"row6col6",0.440126668652,0.0867020913246,0.912911768566,0.48665791672,"North",0.0,0.0
